Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1993-03-01,1.5574,3.0959,3.584,4.2799,2.4951,1.9554
1993-04-01,-2.3639,-2.8766,-3.8174,1.1335,-1.3438,-4.6347
1993-05-01,5.5471,4.1631,5.0872,3.1102,2.2445,3.3232
1993-06-01,1.1163,0.361,1.0597,2.0387,0.1623,0.2471
1993-07-01,0.2757,1.3057,0.6321,2.0944,0.9618,-2.0046
1993-08-01,4.5403,4.049,4.0481,5.9274,3.4929,3.3317
1993-09-01,2.9303,2.3431,3.1404,-0.5358,-0.1517,-0.2597
1993-10-01,4.3705,1.5636,3.309,-0.1637,1.1716,2.0378
1993-11-01,-3.5152,-2.2472,-2.824,-3.8181,-1.8844,-0.0436
1993-12-01,1.4343,4.0305,4.0134,1.479,2.3038,1.2205
1994-01-01,4.2806,2.386,2.3494,4.2035,3.1825,2.816
1994-02-01,-1.7341,0.837,0.0363,-4.5067,-2.7543,-1.999
1994-03-01,-6.3074,-5.0286,-5.0783,-4.4991,-4.1137,-4.354
1994-04-01,-0.9117,0.7752,0.2079,0.3771,1.2277,1.4055
1994-05-01,-1.6873,-1.4577,-1.5685,0.8376,0.7741,1.923
1994-06-01,-4.7247,-2.9284,-2.7602,-3.0728,-2.4151,-2.6236
1994-07-01,1.3695,1.503,2.0674,4.6775,4.0224,2.6894
1994-08-01,5.0912,5.3874,6.264,3.9359,3.6578,4.6652
1994-09-01,-0.1168,0.2354,0.6796,-2.5679,-2.2645,-2.3319
1994-10-01,-0.7908,0.1606,0.0163,2.0806,2.7553,1.7343
1994-11-01,-4.1144,-3.1884,-3.7299,-3.7302,-3.9059,-3.2687
1994-12-01,-0.1988,2.2968,1.5281,1.9307,1.7699,0.9512
1995-01-01,-0.2858,-0.4866,0.2746,3.1041,1.9653,2.8933
1995-02-01,3.0923,4.2847,3.5589,3.2969,4.4059,4.015
1995-03-01,2.8838,1.4741,1.9594,2.2627,2.5794,2.8419
1995-04-01,2.5024,2.4019,1.62,1.4562,2.131,3.155
1995-05-01,1.9185,1.2715,1.8877,3.1525,3.6957,3.9671
1995-06-01,6.6018,5.1393,5.3402,2.5857,1.9689,3.1846
1995-07-01,5.5532,6.194,7.1549,4.4908,4.2581,3.4799
1995-08-01,3.6883,1.8954,2.6515,2.5527,-0.564,1.1104
1995-09-01,2.5935,1.5664,2.0663,2.5014,3.0067,5.0801
1995-10-01,-5.9128,-4.4316,-4.1429,-1.6285,-1.7769,0.4269
1995-11-01,3.9099,3.0944,3.8798,5.3799,4.641,4.1778
1995-12-01,3.8658,0.8977,1.0175,1.427,1.2328,1.54
1996-01-01,1.3539,-0.683,0.427,2.3326,2.345,3.6105
1996-02-01,3.2104,3.3487,4.171,1.6115,2.3549,1.1402
1996-03-01,1.7655,2.8276,3.8397,-0.0597,1.8757,0.6991
1996-04-01,7.4866,5.3256,6.417,1.1806,1.6927,1.9682
1996-05-01,6.6082,4.5853,4.3247,0.6103,1.7313,3.1275
1996-06-01,-6.2873,-2.8676,-2.1167,-2.1539,-0.65,0.6898
1996-07-01,-11.1522,-7.2456,-8.2285,-7.2321,-5.1218,-4.2483
1996-08-01,5.5448,5.7487,6.1569,3.6346,3.3428,2.2814
1996-09-01,3.4699,4.1949,3.5872,3.9897,4.7819,6.4072
1996-10-01,-3.4601,-0.4873,-1.0962,1.3365,2.1828,1.7699
1996-11-01,1.8546,4.4734,3.3438,5.7291,5.7239,8.4789
1996-12-01,0.7,2.4933,2.0617,-1.293,-1.3141,-1.9092
1997-01-01,4.5022,2.2639,4.1403,4.0599,4.5165,6.8024
1997-02-01,-3.0286,-1.3018,-2.9395,-0.604,0.2148,0.654
1997-03-01,-6.7358,-3.3184,-4.5492,-4.0528,-3.1505,-5.2412
1997-04-01,-2.6143,0.4671,-0.7544,2.4293,3.2115,7.081
1997-05-01,11.8881,10.5899,12.2425,8.7187,6.1792,6.3189
1997-06-01,4.9846,5.4605,5.7418,3.9504,4.2346,4.314
1997-07-01,5.1721,5.4711,5.3384,7.7205,8.7202,7.6919
1997-08-01,3.6739,3.0212,3.7881,-3.2395,-3.4704,-5.5703
1997-09-01,9.0079,7.7667,7.4863,6.8409,5.566,5.1092
1997-10-01,-5.0966,-2.8408,-4.2831,-4.3345,-3.0729,-3.1509
1997-11-01,-2.625,-0.2613,-1.1662,1.4195,2.7271,5.5877
1997-12-01,-1.6066,2.0504,0.7471,2.4528,2.5405,1.5806
1998-01-01,-0.863,-1.3651,-0.2462,1.0104,-1.5693,2.1246
1998-02-01,7.7898,7.1476,8.1596,7.9871,7.7993,7.0033
1998-03-01,4.6808,4.3649,4.84,6.1148,4.23,5.4333
1998-04-01,1.5708,1.6547,0.2558,2.4446,2.3613,0.3841
1998-05-01,-5.5596,-4.7441,-5.566,-3.7369,-2.5366,-1.538
1998-06-01,0.3338,-0.466,0.2883,5.0233,2.7329,4.5412
1998-07-01,-7.7633,-7.2826,-6.5238,-2.9112,-2.3571,-0.6769
1998-08-01,-22.9605,-18.1987,-19.8268,-18.2467,-14.1912,-14.6311
1998-09-01,7.3015,4.7638,5.2283,8.1369,5.998,6.4519
1998-10-01,3.7413,3.932,4.5765,7.0253,7.5079,8.0477
1998-11-01,8.4578,5.555,6.7895,6.7703,5.736,6.72
1998-12-01,4.9602,3.3688,5.7777,9.1103,5.2495,6.7709
1999-01-01,5.7618,-0.2096,0.3434,4.6031,1.8018,4.4748
1999-02-01,-8.8616,-7.3715,-8.0326,-0.7615,-3.3002,-4.0464
1999-03-01,1.3515,-1.1909,0.0767,9.4462,3.9856,2.5848
1999-04-01,10.7227,8.7953,8.633,5.6956,5.8972,2.7318
1999-05-01,0.7963,2.0242,2.4431,-2.6992,-0.7883,-2.486
1999-06-01,7.1162,6.0595,5.3431,2.0967,4.4851,6.1315
1999-07-01,-0.981,-0.9198,-0.2553,-3.2992,-3.0872,-3.3012
1999-08-01,-2.031,-3.9975,-4.0755,-1.2487,-2.6103,0.306
1999-09-01,-0.1427,-0.908,-0.4723,-1.9485,-2.2433,-3.1104
1999-10-01,1.1689,-1.4311,-1.1354,7.639,7.0871,6.4598
1999-11-01,11.2326,5.4063,4.9032,4.6794,2.2463,2.4556
1999-12-01,17.7504,6.5042,9.732,12.2195,7.6505,5.0309
2000-01-01,4.0231,-1.9722,-6.3576,-3.1714,-4.332,-5.3637
2000-02-01,30.9955,10.439,2.5408,6.7004,0.6408,-2.1545
2000-03-01,-13.4343,-1.0924,2.5785,3.2099,9.088,10.7787
2000-04-01,-14.5755,-3.8624,-2.4613,-7.0613,-1.355,-3.8478
2000-05-01,-8.2604,-3.9561,-3.7646,-5.998,-2.0622,-2.2323
2000-06-01,18.9768,7.5227,4.3861,5.8818,0.3227,3.8525
2000-07-01,-6.4145,0.8301,2.8164,-5.1209,1.123,-2.6951
2000-08-01,7.5125,6.5124,6.1725,11.1825,7.8274,6.0785
2000-09-01,-5.7007,-0.908,-2.6079,-7.1813,-2.6353,-5.1579
2000-10-01,-8.7067,-0.7664,-1.0057,-9.2053,-2.6823,2.3107
2000-11-01,-15.8824,-3.5363,-3.8921,-20.6559,-7.2652,-6.5133
2000-12-01,3.6436,7.9394,9.3079,2.7324,2.2645,0.4955
2001-01-01,12.3712,4.6775,7.0969,6.7912,1.8586,2.695
2001-02-01,-10.4218,-0.8945,-1.2012,-14.6289,-11.9116,-5.6473
2001-03-01,-5.6881,-1.6059,-2.6089,-10.1589,-5.5085,-6.5329
2001-04-01,8.1956,5.4529,6.7853,11.548,8.4722,6.8389
2001-05-01,5.8692,4.0322,4.3396,-0.7684,1.0206,1.2534
2001-06-01,3.3712,5.4112,5.3278,-3.0093,-1.7912,-1.7586
2001-07-01,-9.2576,-1.402,-1.0692,-6.4472,-1.5874,0.1987
2001-08-01,-6.4568,-0.8719,-2.9284,-9.4088,-6.9409,-4.835
2001-09-01,-17.2318,-11.3803,-15.0781,-14.1261,-9.0926,-6.292
2001-10-01,9.3858,3.6405,7.1304,4.653,3.5445,0.9469
2001-11-01,10.341,6.439,6.7734,10.5528,8.2201,6.6627
2001-12-01,7.163,6.1082,7.0429,0.0914,2.168,0.8962
2002-01-01,-2.9719,1.1923,1.7063,-4.7204,-1.1829,-0.0228
2002-02-01,-7.9938,0.6514,0.4471,-8.0104,-1.9161,-0.32
2002-03-01,9.3238,7.966,8.8092,5.9606,4.9294,2.9187
2002-04-01,-3.1009,4.56,3.7654,-8.1965,-4.4624,-5.9342
2002-05-01,-5.663,-3.1767,-3.0168,-2.5569,-1.2552,-0.4777
2002-06-01,-6.1015,-1.9668,-3.4892,-12.6845,-5.1373,-7.4389
2002-07-01,-16.5406,-13.6464,-13.503,-9.78,-9.4017,-5.2342
2002-08-01,-2.1971,1.4555,1.6541,1.0458,1.5541,-0.0771
2002-09-01,-10.5845,-5.5371,-5.0122,-11.2266,-10.8213,-10.2339
2002-10-01,6.8314,2.6532,1.6169,8.8064,9.9308,7.2434
2002-11-01,15.6157,6.3313,4.6092,11.2431,6.0675,3.8192
2002-12-01,-9.4981,-3.114,-2.3618,-9.0589,-7.2854,-3.5981
2003-01-01,-1.8066,-2.5738,-1.9013,-0.5694,-4.1234,-2.4179
2003-02-01,-3.5578,-2.817,-2.7061,-2.8825,-1.0117,-2.05
2003-03-01,0.8865,0.6481,2.6813,-0.4146,1.2252,1.5111
2003-04-01,12.3984,8.5237,7.6429,11.288,9.0462,6.7114
2003-05-01,16.5117,7.6455,7.965,10.1224,5.326,4.6585
2003-06-01,2.5869,2.5456,3.2955,1.0089,1.37,1.3057
2003-07-01,8.203,5.7976,4.7694,4.5993,3.4905,-0.2569
2003-08-01,6.5498,4.0094,3.5366,2.421,3.5872,0.9414
2003-09-01,-0.468,-1.6321,-1.184,-3.0976,-1.087,-0.3543
2003-10-01,9.5188,8.144,9.2178,7.0307,6.8678,4.6333
2003-11-01,3.5673,3.747,4.3407,1.8623,0.4414,1.4681
2003-12-01,1.6234,2.869,3.0246,5.2368,3.8976,4.9501
2004-01-01,7.7792,2.005,2.5298,3.6407,1.1772,1.569
2004-02-01,-0.9216,1.8059,2.555,0.4483,2.6744,1.2834
2004-03-01,-0.4797,1.1876,2.5203,-1.6499,-1.1635,-1.5347
2004-04-01,-6.0326,-2.6692,-2.3949,-3.2166,-2.5988,0.0819
2004-05-01,1.1991,1.1468,0.4943,2.2103,1.6437,0.5556
2004-06-01,3.0848,5.1226,5.4306,1.6792,1.4878,1.7383
2004-07-01,-10.2081,-4.5516,-3.5414,-6.6823,-3.1793,-2.7067
2004-08-01,-1.3922,-0.2973,-1.2658,-1.564,0.4949,0.7651
2004-09-01,4.9238,4.6607,5.0827,3.7509,1.13,0.6209
2004-10-01,1.7061,2.1356,2.0731,2.6463,1.4175,1.237
2004-11-01,8.496,8.4792,9.3936,5.8881,4.1714,3.835
2004-12-01,4.4048,2.8475,3.1862,4.8088,2.7373,3.7021
2005-01-01,-5.1611,-2.9748,-2.7315,-5.0303,-1.8507,-1.9722
2005-02-01,1.2683,2.0511,2.2726,1.1566,1.6152,3.0166
2005-03-01,-4.1002,-1.6099,-2.4943,-1.0876,-1.5075,-1.7638
2005-04-01,-7.0698,-5.0526,-5.6293,-2.7122,-1.2921,-2.2107
2005-05-01,6.2454,6.6621,6.9053,5.6195,3.4379,2.9599
2005-06-01,3.6268,3.8601,4.5806,-0.3411,0.3655,0.6232
2005-07-01,7.5146,6.3678,5.7101,4.3368,3.732,3.7719
2005-08-01,-0.716,-1.8457,-2.8303,0.6612,-1.1796,-1.3329
2005-09-01,0.8555,0.0095,1.0486,0.4679,1.0776,0.8178
2005-10-01,-3.5045,-2.2228,-3.3546,-0.248,-1.3603,-2.2639
2005-11-01,4.7057,4.5528,5.017,4.6979,4.501,2.8648
2005-12-01,0.1573,-1.0435,0.4889,-0.4793,0.716,-0.3794
2006-01-01,9.67,7.768,8.9446,3.2888,2.5284,2.719
2006-02-01,0.1032,-0.2156,-1.4375,-0.7188,0.8932,-0.2032
2006-03-01,4.6157,5.0477,4.5358,1.062,1.8736,1.265
2006-04-01,-0.5016,0.8685,1.76,-0.1014,1.7506,1.2318
2006-05-01,-7.0648,-4.2697,-4.972,-2.5195,-3.3752,-2.3031
2006-06-01,-0.8082,0.3581,0.6587,-0.3154,-0.4622,0.8631
2006-07-01,-4.4967,-2.8803,-3.5281,-1.7702,0.4016,0.5162
2006-08-01,3.8685,2.2536,1.6343,3.7163,2.123,2.2376
2006-09-01,-0.0426,1.53,1.569,2.0984,2.9732,2.1222
2006-10-01,5.5751,5.0776,5.5363,3.875,2.7471,3.6777
2006-11-01,2.6978,2.5507,3.1682,2.5046,1.4169,2.3267
2006-12-01,0.527,0.9266,0.1698,1.6488,2.034,0.5586
2007-01-01,1.6131,1.3452,2.391,2.0254,1.766,1.7575
2007-02-01,-0.3409,-0.1809,-0.4842,-0.9661,-1.9511,-1.8468
2007-03-01,0.85,1.4152,1.8274,0.9408,1.0751,1.2489
2007-04-01,2.0831,1.3887,3.2635,3.7969,3.7285,4.9138
2007-05-01,2.6179,4.7755,4.8991,3.0368,3.2791,3.9225
2007-06-01,-0.8438,-1.5631,-0.2823,-1.7233,-2.2527,-1.2314
2007-07-01,-5.6341,-6.3987,-6.8631,-3.9976,-3.2047,-2.3769
2007-08-01,1.2002,2.3165,-0.9238,1.271,2.0095,0.9749
2007-09-01,2.1842,0.6532,0.8979,3.8318,3.3361,4.0703
2007-10-01,3.0019,1.4678,0.9116,1.2406,1.8822,2.7434
2007-11-01,-8.8023,-5.705,-7.0316,-4.8547,-5.3559,-2.8386
2007-12-01,-0.171,-0.7729,-0.5074,-1.2814,-1.8252,0.7985
2008-01-01,-8.7387,-5.0743,-5.3457,-6.3067,-6.4263,-5.4068
2008-02-01,-4.2421,-3.598,-2.7225,-1.4911,-5.488,-1.2635
2008-03-01,-1.4761,0.6948,0.0916,-0.4141,-1.0391,-0.4009
2008-04-01,2.6679,3.4562,5.2086,4.1008,4.8028,4.8298
2008-05-01,4.419,4.2696,6.9619,3.1408,0.4057,2.4502
2008-06-01,-9.1356,-7.919,-4.4474,-10.7611,-10.9255,-5.5347
2008-07-01,3.6362,3.4918,2.1441,-1.0585,0.5233,-2.2873
2008-08-01,4.0124,4.7267,5.3506,-0.4966,1.2986,1.8873
2008-09-01,-9.7903,-5.9473,-10.1119,-13.1902,-8.7305,-8.0336
2008-10-01,-21.6425,-18.9412,-21.5738,-21.1679,-16.6129,-15.1643
2008-11-01,-13.0819,-11.1667,-12.7509,-13.5326,-7.8197,-4.8035
2008-12-01,5.0063,4.1626,5.0116,1.7023,1.0641,1.8325
2009-01-01,-10.0217,-12.3859,-10.7192,-6.8837,-10.3281,-5.8231
2009-02-01,-12.1402,-11.734,-11.5216,-10.9036,-10.2801,-9.1312
2009-03-01,11.469,8.78,9.7941,11.4235,8.8338,8.0596
2009-04-01,15.4335,16.4377,22.1208,11.7579,10.3362,7.697
2009-05-01,4.7754,1.2589,3.4591,5.9907,4.5153,5.7568
2009-06-01,4.5739,1.5578,0.3379,-0.635,-0.0616,0.7749
2009-07-01,9.8978,9.8439,10.6961,7.7062,9.3646,5.9964
2009-08-01,3.9739,3.3752,4.1593,7.9782,2.7696,1.7391
2009-09-01,6.5085,5.3674,8.8463,3.3031,4.7221,3.5816
2009-10-01,-9.7935,-5.1865,-6.4462,-4.8899,-2.629,0.1095
2009-11-01,2.7707,2.4134,2.891,4.1754,6.144,6.0515
2009-12-01,8.1066,7.7757,9.8201,1.4528,3.3261,1.7859
2010-01-01,-3.3026,-3.1149,-3.1082,-1.6594,-3.394,-4.3939
2010-02-01,5.0917,4.358,5.622,4.105,3.1107,3.038
2010-03-01,8.557,7.0173,8.9393,6.8288,6.5379,5.142
2010-04-01,6.9369,5.6751,7.0332,0.5209,1.6281,1.8086
2010-05-01,-8.7635,-7.5533,-6.2695,-8.1244,-7.4116,-8.0125
2010-06-01,-8.1444,-7.6151,-8.8537,-5.2883,-5.6541,-4.9076
2010-07-01,6.7605,7.3292,6.1213,5.8985,7.0494,7.0258
2010-08-01,-8.055,-7.2021,-8.4799,-5.2879,-4.8378,-3.7968
2010-09-01,13.2026,12.0438,12.3591,9.0632,8.9789,9.488
2010-10-01,3.9009,4.2638,4.3994,2.5441,3.2686,4.427
2010-11-01,3.4658,4.0753,4.3038,0.6924,-0.6538,0.7645
2010-12-01,10.0499,7.3804,6.806,8.8196,7.5927,5.1771
2011-01-01,0.0155,0.2263,-0.4417,2.712,3.0363,1.6522
2011-02-01,5.9367,5.5613,3.6006,4.2603,3.9773,2.7176
2011-03-01,2.1501,2.7131,3.3196,-1.5351,0.3905,0.8155
2011-04-01,1.9013,2.3861,2.3654,1.9053,2.8904,3.4658
2011-05-01,-2.8272,-2.2262,-1.0608,-3.0853,-1.0691,-0.6843
2011-06-01,-3.308,-1.026,-0.5686,-3.1848,-2.0383,-0.949
2011-07-01,-4.6068,-3.4634,-3.016,-4.8143,-2.5995,-1.036
2011-08-01,-10.8165,-7.5745,-9.2896,-9.6095,-5.7966,-4.5348
2011-09-01,-11.8437,-10.2585,-11.9381,-10.5079,-7.3831,-6.3369
2011-10-01,14.8972,14.4524,15.5852,15.1614,11.0646,10.1539
2011-11-01,-1.7459,0.2613,-0.7195,-2.404,-0.0888,0.2926
2011-12-01,0.5234,0.6025,0.1354,-1.7896,1.763,0.5629
2012-01-01,8.0693,6.3397,6.2695,6.9577,4.367,4.7381
2012-02-01,3.161,2.3431,3.3304,5.5151,4.4579,4.3888
2012-03-01,3.311,2.4736,2.1733,2.9359,3.3619,2.9965
2012-04-01,-1.8428,-1.4757,-0.925,-2.0934,-0.7569,-0.4174
2012-05-01,-6.8228,-6.3667,-5.9966,-9.043,-5.7759,-5.7079
2012-06-01,6.0435,4.0565,4.1474,4.2837,3.6079,3.9898
2012-07-01,-2.8632,-0.6832,-2.3383,-0.6476,1.562,1.0347
2012-08-01,3.2113,3.6718,2.8403,4.4436,2.4116,2.1588
2012-09-01,3.5486,3.8384,3.2684,4.2829,3.4506,1.5739
2012-10-01,-2.8689,-1.1113,-2.3218,1.0269,-1.8858,-2.1962
2012-11-01,0.4309,1.2892,1.8763,0.511,1.2566,0.2806
2012-12-01,3.6541,3.053,3.7961,3.5769,1.6384,-0.259
2013-01-01,6.6444,5.9917,6.4573,7.7132,6.352,4.0389
2013-02-01,1.6573,0.8217,0.7686,1.6595,1.4112,1.2027
2013-03-01,4.9114,4.0262,5.954,4.5385,3.8571,3.7622
2013-04-01,-0.69,-0.5682,-0.5854,1.5486,1.4253,1.9898
2013-05-01,5.5289,5.0543,4.6912,5.4104,2.0999,2.3082
2013-06-01,0.4988,-0.2738,-0.2763,-2.2821,-0.2532,-2.2441
2013-07-01,7.5295,7.3327,7.3463,7.422,5.458,4.9091
2013-08-01,-2.7588,-3.549,-1.9459,-2.5908,-3.2963,-2.0844
2013-09-01,6.1419,5.7514,6.3362,4.492,3.497,3.1617
2013-10-01,0.4153,4.5972,4.0407,2.7696,4.5166,4.6885
2013-11-01,4.55,4.5851,4.2905,2.9958,2.4758,3.5343
2013-12-01,2.7069,1.6383,2.5352,3.2895,2.6361,2.5643
2014-01-01,-0.1854,-4.1965,-5.1686,-2.0507,-2.4908,-4.8141
2014-02-01,5.5218,3.9861,4.1826,4.1482,4.3554,5.0584
2014-03-01,-2.2454,1.41,1.1501,-0.0551,0.7895,0.8015
2014-04-01,-5.7885,-3.075,-1.9689,-1.3488,-0.4943,1.7725
2014-05-01,0.1059,0.4026,-0.2321,1.7648,2.2209,2.2192
2014-06-01,6.207,5.0897,4.8809,4.1551,2.1667,1.7138
2014-07-01,-6.1574,-5.7783,-6.4429,-2.8742,-2.0732,-0.7914
2014-08-01,5.2542,3.5436,5.3046,5.6766,3.5241,4.3556
2014-09-01,-6.2611,-5.3446,-4.1379,-2.021,-1.5639,-1.5611
2014-10-01,5.7583,7.3237,3.9102,1.6763,2.0939,2.4087
2014-11-01,0.3026,-0.503,1.3612,2.3296,1.2529,4.2696
2014-12-01,3.505,2.3996,1.9008,-0.4491,0.7741,-1.2873
2015-01-01,-3.9037,-5.3098,-3.4612,-4.5197,-3.8303,-1.7422
2015-02-01,6.888,6.7453,6.213,7.6053,5.7255,6.0335
2015-03-01,1.1437,2.2997,1.8562,-1.325,-0.9565,-1.8616
2015-04-01,-2.2342,-1.9892,-2.0612,1.1796,0.4366,1.1261
2015-05-01,3.6546,1.2503,1.0882,1.9779,1.3609,0.9413
2015-06-01,0.1895,2.1876,1.4545,-1.6688,-1.5083,-2.0603
2015-07-01,-2.9974,-2.1469,-2.4376,1.7866,2.0835,1.8172
2015-08-01,-6.7943,-4.7341,-6.2012,-6.5338,-6.1928,-5.7618
2015-09-01,-7.022,-3.7509,-6.1765,-4.756,-2.8556,-2.0614
2015-10-01,5.5337,5.6268,6.4133,7.1756,7.9697,8.0936
2015-11-01,5.7156,3.6346,1.1445,1.0141,0.5278,0.0958
2015-12-01,-4.4849,-5.8228,-5.3474,-3.8094,-1.4477,-1.9369
2016-01-01,-12.021,-6.5736,-9.3986,-7.8694,-5.6407,-4.8686
2016-02-01,-1.6057,1.5403,1.8174,-2.0077,-0.653,1.0676
2016-03-01,7.3902,8.1934,8.8999,6.9678,6.6961,7.0027
2016-04-01,2.9995,2.377,1.2516,3.348,1.755,-0.8534
2016-05-01,2.0468,1.0551,0.3533,2.2697,1.7397,1.7814
2016-06-01,-0.2119,0.0601,-0.1389,-2.2118,-0.2262,0.5257
2016-07-01,6.2922,5.5528,6.6335,2.5086,3.4419,4.6772
2016-08-01,3.0185,2.195,2.2856,2.5147,0.3797,-0.462
2016-09-01,4.2483,0.7181,-0.0059,0.6082,-0.3704,0.4385
2016-10-01,-8.0505,-3.1724,-4.8189,-1.3517,-0.6275,-2.7286
2016-11-01,10.1628,13.9872,12.7094,6.8321,4.0785,3.9315
2016-12-01,0.3402,4.3001,2.5584,1.4579,2.1001,1.6803
2017-01-01,1.6559,-0.5735,-0.569,1.3036,1.8616,2.5357
2017-02-01,1.9057,1.3701,0.8984,2.0113,4.1206,3.9564
2017-03-01,1.2467,-0.3048,1.0189,-0.733,-0.2053,0.7085
2017-04-01,0.5587,1.3158,2.782,-0.0587,1.2665,1.5159
2017-05-01,-1.6794,-2.4902,-2.0112,-0.1604,1.1114,2.0774
2017-06-01,4.7931,3.403,2.0759,1.4855,1.426,-0.2413
2017-07-01,0.2962,0.8048,0.2445,3.0885,2.0496,1.8081
2017-08-01,-0.7207,-2.5359,-2.1506,-0.9159,0.4678,0.8133
2017-09-01,7.3616,7.7695,7.1237,4.202,2.5821,1.4485
2017-10-01,-0.0935,0.6384,1.0836,1.9295,2.7464,2.5628
2017-11-01,0.8455,3.5416,5.092,2.3243,2.2762,4.4609
2017-12-01,0.5399,-1.3086,2.0604,1.7425,0.4036,1.7167
2018-01-01,3.5895,1.9332,2.1223,5.8741,6.1353,5.8365
2018-02-01,-2.6491,-4.4838,-3.548,-5.0645,-3.2446,-3.2124
2018-03-01,1.1168,1.4289,1.1557,-1.6194,-2.6968,-2.5081
2018-04-01,3.0949,0.6441,-0.1879,1.8672,0.0198,0.2707
2018-05-01,8.5921,6.9399,3.9536,2.1089,2.5183,2.6395
2018-06-01,0.8196,0.8117,2.4929,1.1723,-0.435,1.0978
2018-07-01,0.8957,2.2725,1.8205,1.8405,3.4619,4.0139
2018-08-01,4.8851,3.3287,1.8392,2.6598,2.2977,5.0824
2018-09-01,-1.9488,-3.2053,-2.0052,-0.4269,-0.1413,0.8977
2018-10-01,-12.3731,-10.2286,-11.494,-8.5082,-6.4756,-7.4893
2018-11-01,0.42,3.0941,-0.5633,1.6682,2.2727,1.5551
2018-12-01,-11.8984,-12.149,-12.9754,-9.834,-9.1937,-8.812
2019-01-01,11.8203,10.1689,13.0942,10.0118,9.3104,7.169
2019-02-01,5.2627,5.3285,4.2209,2.7943,2.9317,4.0816
2019-03-01,-1.4607,-3.6373,-2.9809,-0.642,0.9069,2.6885
2019-04-01,1.4518,4.3693,5.0688,4.4793,4.6091,4.0435
2019-05-01,-7.3675,-8.7591,-9.4965,-7.885,-6.5242,-6.6825
2019-06-01,6.7537,8.2253,7.8807,6.8723,6.7235,7.5377
2019-07-01,-0.2807,0.5515,-1.3524,0.8395,1.5888,1.7806
2019-08-01,-5.7053,-5.6241,-7.7729,-3.8181,-3.3819,-0.6369
2019-09-01,-0.208,4.4966,3.4301,1.1602,2.4477,1.1998
2019-10-01,3.2582,1.8164,2.4329,1.1663,1.9896,2.8537
2019-11-01,6.3975,1.9843,4.2806,4.8354,3.9568,3.7002
2019-12-01,4.4313,3.8007,3.2212,2.2816,2.33,3.4592
2020-01-01,-3.6942,-5.2863,-5.3996,1.7969,-1.609,1.1039
2020-02-01,-6.6842,-9.3412,-9.9578,-7.9853,-8.8242,-7.6958
2020-03-01,-20.6265,-20.6313,-30.6991,-17.2013,-14.031,-10.258
2020-04-01,16.0554,12.3552,21.408,13.9935,12.5872,14.1093
2020-05-01,7.8245,4.2925,11.0744,6.7108,4.7482,5.3268
2020-06-01,4.6638,2.6523,3.5267,2.8094,-0.6468,4.1971
2020-07-01,3.4061,0.9777,3.3982,5.3209,6.4392,6.1221
2020-08-01,4.7144,5.3079,9.158,5.1062,5.9034,9.3206
2020-09-01,-2.2731,-5.6439,-3.7258,-2.7235,-4.2633,-3.8328
2020-10-01,0.9743,5.062,2.706,-0.4313,-0.1923,-3.6904
2020-11-01,21.2478,16.9602,22.5523,16.0429,12.9444,10.2933
2020-12-01,10.9002,8.3422,8.9242,5.7432,4.9675,3.9539
2021-01-01,8.7164,6.237,3.5113,0.8188,1.3152,-1.8192
2021-02-01,6.4687,9.0686,11.8857,5.842,3.6527,1.1975
2021-03-01,-1.7075,6.5565,5.4152,-1.399,4.2655,4.153
2021-04-01,0.4757,1.7435,5.0917,4.7932,6.1413,5.1142
2021-05-01,-0.9288,4.2734,4.0393,0.1511,0.8367,-0.0255
2021-06-01,4.5118,-1.1541,-1.0281,2.3556,0.7231,3.8077
2021-07-01,-7.2127,-0.914,-1.5061,-2.4261,2.0098,2.8267
2021-08-01,2.6812,1.7994,1.6268,1.9858,4.2562,2.5957
2021-09-01,-3.1157,-2.441,-3.0714,-1.9174,-3.6843,-5.8607
2021-10-01,2.3897,4.6263,3.5893,4.1668,8.767,6.4148
2021-11-01,-7.7428,-0.7064,-1.4316,-7.6846,-1.7354,0.5343
2021-12-01,0.2478,4.6205,4.1468,-1.0032,3.2028,4.7563
2022-01-01,-10.4083,-6.5279,-8.1914,-5.3444,-5.2236,-5.8757
2022-02-01,1.4965,0.6401,1.4769,0.6816,-1.7687,-3.4913
2022-03-01,3.7231,-0.3898,-1.2305,1.9822,3.515,3.9278
2022-04-01,-12.318,-6.7207,-7.9757,-10.3322,-11.2523,-7.7338
2022-05-01,-2.0962,2.6444,1.5301,-1.23,1.8161,-1.4556
2022-06-01,-7.9724,-6.8488,-8.6343,-10.8876,-9.7617,-6.743
2022-07-01,10.851,9.8872,13.1499,9.5576,10.6985,8.9686
2022-08-01,1.4048,-3.2851,-4.2723,-0.6995,-3.2802,-4.6034
2022-09-01,-9.7874,-9.0898,-11.8783,-8.8405,-8.1384,-9.6745
2022-10-01,6.8966,13.2141,12.2888,7.2382,7.1259,8.4563
2022-11-01,-2.2735,3.8319,5.3195,1.8236,3.4435,6.8649
2022-12-01,-6.3585,-5.8134,-6.8725,-7.0152,-6.2575,-5.9603
2023-01-01,14.1307,7.9166,12.6558,9.4542,7.118,6.0964
2023-02-01,-3.37,-0.5342,-1.2391,-1.7167,-3.1352,-1.794
2023-03-01,-4.6257,-5.8497,-5.1479,1.3464,-0.8209,6.5294
